 Quantity,Reference, Footprint, Vendor part#, Manufacturer part#, Vendor, Value, Datasheet,,,, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
5,R72 R43 R50 R57 R22 ,Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909,1206W4F1200T5E,JLCPCB,120, https://datasheet.lcsc.com/lcsc/1809140216_UNI-ROYAL-Uniroyal-Elec-1206W4F1200T5E_C17909.pdf,,,,,,,,,,,,,,
1,RY1 ,coco2:RELAY_J0971CS5VDC.45,2449-J0971CS5VDC.45-ND,J0971CS5VDC.45,digikey,J0971CS5VDC.45,https://www.citrelay.com/Catalog%20Pages/RelayCatalog/J097.pdf,,,,,,,,,,,,,,
1,SW1 ,coco2:F2UEE,401-1223-ND,F2UEE,digikey,SW_DPDT_x2,https://www.ckswitches.com/media/1402/fpush.pdf,,,,,,,,,,,,,,
1,SW2 ,coco2:B3F3152,SW410-ND,B3F-3152,digikey,Reset Switch,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3f.pdf,,,,B32-1010,SW451-ND,,,,,,,,,
1,TC1 ,coco2:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,2447-GKG60015-ND,GKG60015,digikey,10pF-50pF,https://media.digikey.com/pdf/Data%20Sheets/EW%20Electronics-Edmar/GKGxx015_016_Series_DS.pdf,,,,,,,,,,,,,,
1,TP1001 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,5V,~,,,,,,,,,,,,,,
1,TP2 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,ECLK,~,,,,,,,,,,,,,,
1,TP3 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,QCLK,~,,,,,,,,,,,,,,
1,TP4 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,~RAS,~,,,,,,,,,,,,,,
1,TP5 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,~CAS,~,,,,,,,,,,,,,,
1,TP6 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,CVIDEO,~,,,,,,,,,,,,,,
1,TP7 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,VIDEO,~,,,,,,,,,,,,,,
1,TP8 ,TestPoint:TestPoint_Pad_3.0x3.0mm,,,,RED OUT,~,,,,,,,,,,,,,,
1,U1001 ,Package_TO_SOT_SMD:TO-263-5_TabPin3,C10002,LM2596SX-5.0/NOPB,LCSC,LM2596S-5,http://www.ti.com/lit/ds/symlink/lm2596.pdf,,,,,,,,,,,,,,
1,U1002 ,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,C15846,MAX3232ESE+T, LCSC,MAX3232,https://datasheet.lcsc.com/lcsc/1809081207_Maxim-Integrated-MAX3232ESE+T_C15846.pdf,,,,,,,,,,,,,,
1,U1003 ,Package_SO:TSSOP-8_4.4x3mm_P0.65mm,C160466,LM393PT,LCSC,LM393,http://www.ti.com/lit/ds/symlink/lm393.pdf,,,,,,,,,,,,,,
1,X1 ,coco2:XTAL_ECS-286.3-20-46X,XC1766-ND,ECS-286.3-20-46X,digikey,28.63636 MHz,https://ecsxtal.com/store/pdf/HC-46X.pdf,,,,,,,,,,,,,,
