Reference, Quantity, Value, Footprint, Datasheet, Manufacturer part#, Vendor, Vendor part#, Manufacturer 2nd part#, Vendor 2nd part#, C90157, LCSC, MMBT9014C, AVAILABILITY, DESCRIPTION, MF, MP, PACKAGE, PRICE
R42 R49 R56 ,3,"2K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"," https://datasheet.lcsc.com/lcsc/1811091710_UNI-ROYAL-Uniroyal-Elec-1206W4F2001T5E_C17944.pdf","1206W4F2001T5E","JLCPCB","C17944","","","","","","","","","","",""
R63 ,1,"150","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809140241_UNI-ROYAL-Uniroyal-Elec-1206W4F1500T5E_C17917.pdf","1206W4F1500T5E","JLCPCB","C17917","","","","","","","","","","",""
R64 R9 R10 ,3,"47","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1811101020_UNI-ROYAL-Uniroyal-Elec-1206W4J0470T5E_C25384.pdf"," 1206W4J0470T5E","JLCPCB","C25384","","","","","","","","","","",""
R65 ,1,"1M","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"," https://datasheet.lcsc.com/lcsc/1811050105_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf","1206W4F1004T5E","JLCPCB","C17927","","","","","","","","","","",""
R66 ,1,"7.5K","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810171732_UNI-ROYAL-Uniroyal-Elec-1206W4F7501T5E_C17978.pdf","1206W4F7501T5E","JLCPCB","C17978","","","","","","","","","","",""
R70 ,1,"470","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1809192114_UNI-ROYAL-Uniroyal-Elec-1206W4J0471T5E_C25383.pdf","1206W4J0471T5E","JLCPCB","C25383","","","","","","","","","","",""
R71 R68 R28 R39 R46 R53 ,6,"10","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","https://datasheet.lcsc.com/lcsc/1810301421_UNI-ROYAL-Uniroyal-Elec-1206W4F100JT5E_C17903.pdf","1206W4F100JT5E","JLCPCB","C17903","","","","","","","","","","",""
R72 R43 R50 R57 R22 ,5," 120","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder"," https://datasheet.lcsc.com/lcsc/1809140216_UNI-ROYAL-Uniroyal-Elec-1206W4F1200T5E_C17909.pdf","1206W4F1200T5E","JLCPCB","C17909","","","","","","","","","","",""
RY1 ,1,"J0971CS5VDC.45","coco2:RELAY_J0971CS5VDC.45","https://www.citrelay.com/Catalog%20Pages/RelayCatalog/J097.pdf","J0971CS5VDC.45","digikey","2449-J0971CS5VDC.45-ND","","","","","","","","","","",""
SW1 ,1,"SW_DPDT_x2","coco2:F2UEE","https://www.ckswitches.com/media/1402/fpush.pdf","F2UEE","digikey","401-1223-ND","","","","","","","","","","",""
